stage_id,stage_name,scenario_type,LC,CAC,MDC,CTIC,TF,SACI,nodes,edges,observed_edges,missing_edges,description
S0,no_siem,controlled_evaluation_scenario,0.0,0.0,0.0,0.0,0.0,0.0,95,173,6,167,Kurumda merkezi SIEM ve log görünürlüğü yok.
S1,siem_deployed,controlled_evaluation_scenario,18.52,0.0,0.0,0.0,50.0,10.56,95,173,10,163,Wazuh/SIEM altyapısı kuruldu ancak uç sistemlerden anlamlı telemetri henüz alınmıyor.
S2,inventory_defined,controlled_evaluation_scenario,18.52,0.0,0.0,0.0,60.0,11.56,95,173,10,163,Varlık envanteri çıkarıldı ve kritik sistemler kapsamda tanımlandı; ancak log coverage sınırlı.
S3,dc_visibility,controlled_evaluation_scenario,37.04,40.0,69.23,0.0,80.0,42.96,95,173,64,109,Domain Controller Security/Sysmon görünürlüğü sağlandı.
S4,endpoint_visibility,controlled_evaluation_scenario,66.67,84.0,100.0,0.0,80.0,69.0,95,173,131,42,Windows ve Linux endpoint telemetrisi eklendi.
S5,firewall_visibility,controlled_evaluation_scenario,85.19,84.0,100.0,0.0,80.0,74.56,95,173,133,40,Firewall/pfSense logları merkezi SIEM görünürlüğüne eklendi.
S6,cti_integration,controlled_evaluation_scenario,100.0,84.0,100.0,100.0,80.0,94.0,95,173,143,30,MISP/CTI entegrasyonu yapıldı; IOC zinciri görünür hale geldi.
S8,final_closure,final_lab_measurement,100.0,100.0,100.0,100.0,100.0,100.0,95,173,173,0,Final kontrollü laboratuvar koşusunda tüm beklenen görünürlük ilişkileri kapandı.
S9,critical_dc01_security_loss,fault_injection,90.74,97.0,100.0,100.0,100.0,96.47,95,173,166,7,Critical DC01 Security log source is removed to test critical authentication visibility loss.
S10,endpoint_powershell_loss,fault_injection,95.06,92.27,92.31,100.0,100.0,95.05,95,173,161,12,Endpoint PowerShell telemetry is removed to test script execution visibility loss.
S11,linux_authlog_loss,fault_injection,95.06,95.71,92.31,100.0,100.0,95.91,95,173,166,7,Linux authlog visibility is removed to test Linux authentication telemetry loss.
S12,firewall_ioc_without_cti,cti_failure,100.0,100.0,100.0,50.0,100.0,92.5,95,173,167,6,"Firewall IOC evidence exists but CTI closure is broken, reducing CTI integration coverage."
S13,misp_lookup_without_ioc_hit,cti_failure,100.0,100.0,100.0,50.0,100.0,92.5,95,173,167,6,MISP lookup is modeled without IOC hit/alert closure for the lab domain indicator.
S14,mitre_scope_expansion_gap,coverage_gap,100.0,95.88,92.86,100.0,100.0,97.54,98,178,173,5,A new in-scope MITRE technique is added without an observed detection control.
S15,freshness_decay,sensitivity_test,100.0,100.0,100.0,100.0,50.0,95.0,95,173,173,0,"All graph relationships remain closed, but telemetry freshness score decays."
S16,detection_rule_gap,control_failure,100.0,95.71,100.0,100.0,100.0,98.93,95,173,168,5,"Telemetry exists, but an expected detection rule/control does not produce observable alert evidence."
S17,recovery_after_fix,recovery,100.0,100.0,100.0,100.0,100.0,100.0,95,173,173,0,Recovery scenario after missing telemetry/control relation is fixed; returns to final closure.
S18,legacy_control_out_of_scope,scope_validation,100.0,100.0,100.0,100.0,100.0,100.0,95,173,173,0,Legacy controls C003 and C004 are explicitly marked out of active scoring scope to avoid double counting older mappings.
S7A,critical_dc01_sysmon_loss,controlled_visibility_regression,90.74,64.0,61.54,100.0,80.0,78.53,95,173,116,57,Kritik A01/DC01 varlığından Sysmon log kaynağı kesildi.
S7B,noncritical_ws01_sysmon_loss,controlled_visibility_regression,95.06,84.0,100.0,100.0,80.0,92.52,95,173,141,32,Daha düşük kritiklikteki A04/WS01 varlığından Sysmon log kaynağı kesildi.
